code,product_name,user_allergies,confirmed_allergens,potential_allergens,sulphite_threshold_allergens,decision,risk,matched_user_allergens,evidence,explanation
0000112301878,pot au feu de légumes aux aromates,Egg; Milk; Peanuts,celery;milk,egg;wheat_gluten,,NOT SUITABLE,CONFIRMED,Milk,lait -> Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Milk. Direct ingredient evidence: lait -> Milk.
0001121325632,"Cashews, salted",Egg; Milk; Peanuts,peanut;tree_nut,,,NOT SUITABLE,CONFIRMED,Peanuts,peanut -> Peanuts,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Peanuts. Direct ingredient evidence: peanut -> Peanuts.
0001116103494,Whole roasted cashews,Egg; Milk; Peanuts,peanut;soy;tree_nut,,,NOT SUITABLE,CONFIRMED,Peanuts,peanut -> Peanuts,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Peanuts. Direct ingredient evidence: peanut -> Peanuts.
0000380102109,Chocolate Indulgence IsaLean Whole Blend Whey-Based Bar,Egg; Milk; Peanuts,milk;peanut;tree_nut,,,NOT SUITABLE,CONFIRMED,Milk; Peanuts,butter -> Milk; cream -> Milk; milk -> Milk; milk protein -> Milk; peanuts -> Peanuts; whey -> Milk; whey protein -> Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Milk; Peanuts. Direct ingredient evidence: butter -> Milk; cream -> Milk; milk -> Milk; milk protein -> Milk; peanuts -> Peanuts; whey -> Milk; whey protein -> Milk.
00001403,Sablés Coco Lait,Egg; Milk; Peanuts,egg;milk;soy;wheat_gluten,sesame,,NOT SUITABLE,CONFIRMED,Egg; Milk,beurre -> Milk; lait -> Milk; lait ecreme -> Milk; lait entier -> Milk; oeufs -> Egg,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Egg; Milk. Direct ingredient evidence: beurre -> Milk; lait -> Milk; lait ecreme -> Milk; lait entier -> Milk; oeufs -> Egg.
0000192495165,Dessert végétal à l'amande et au chocolat et à la noisette,Egg; Milk; Peanuts,milk;tree_nut,,,NOT SUITABLE,CONFIRMED,Milk,beurre -> Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Milk. Direct ingredient evidence: beurre -> Milk.
0000252828288,Chick-fil-A nuggets,Egg; Milk; Peanuts,egg;milk;peanut;soy;wheat_gluten,,,NOT SUITABLE,CONFIRMED,Egg; Milk; Peanuts,egg -> Egg; milk -> Milk; peanut -> Peanuts; peanut oil -> Peanuts,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Egg; Milk; Peanuts. Direct ingredient evidence: egg -> Egg; milk -> Milk; peanut -> Peanuts; peanut oil -> Peanuts.
0000105748562,,Egg; Milk; Peanuts,wheat_gluten,egg,,POTENTIAL RISK,PRECAUTIONARY,Egg,egg -> Egg,The product may pose a risk because the model detected precautionary evidence associated with: Egg. Precautionary evidence: egg -> Egg.
0001000657163,Tortellini Ricotta Epinard,Egg; Milk; Peanuts,egg;milk;wheat_gluten,,,NOT SUITABLE,CONFIRMED,Egg; Milk,beurre -> Milk; fromage -> Milk; lactose -> Milk; lactoserum -> Milk; lait -> Milk; oeuf -> Egg,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Egg; Milk. Direct ingredient evidence: beurre -> Milk; fromage -> Milk; lactose -> Milk; lactoserum -> Milk; lait -> Milk; oeuf -> Egg.
00000024,Croccante con pistacchi e miele,Egg; Milk; Peanuts,,peanut;sesame;tree_nut;wheat_gluten,,POTENTIAL RISK,PRECAUTIONARY,Peanuts,cacahuetes -> Peanuts,The product may pose a risk because the model detected precautionary evidence associated with: Peanuts. Precautionary evidence: cacahuetes -> Peanuts.
00000224,madeleine Bijou ChocoPépites,Egg; Milk; Peanuts,egg;milk;wheat_gluten,soy;tree_nut,,NOT SUITABLE,CONFIRMED,Egg; Milk,beurre -> Milk; lait -> Milk; lait ecreme -> Milk; oeufs -> Egg,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Egg; Milk. Direct ingredient evidence: beurre -> Milk; lait -> Milk; lait ecreme -> Milk; oeufs -> Egg.
00000550,Krautsalat,Egg; Milk; Peanuts,,peanut;sesame;tree_nut;wheat_gluten,,POTENTIAL RISK,PRECAUTIONARY,Peanuts,cacahuetes -> Peanuts,The product may pose a risk because the model detected precautionary evidence associated with: Peanuts. Precautionary evidence: cacahuetes -> Peanuts.
0002000012670,,Egg; Milk; Peanuts,wheat_gluten,egg;milk;mustard;sesame;soy,,POTENTIAL RISK,PRECAUTIONARY,Egg; Milk,lait -> Milk; oeuf -> Egg,The product may pose a risk because the model detected precautionary evidence associated with: Egg; Milk. Precautionary evidence: lait -> Milk; oeuf -> Egg.
0001110843432,"Mixed Nuts, Salted",Egg; Milk; Peanuts,peanut;tree_nut,,,NOT SUITABLE,CONFIRMED,Peanuts,peanut -> Peanuts; peanut oil -> Peanuts; peanuts -> Peanuts,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Peanuts. Direct ingredient evidence: peanut -> Peanuts; peanut oil -> Peanuts; peanuts -> Peanuts.
0001757016092,Finest Milk Chocolate,Egg; Milk; Peanuts,milk;soy;tree_nut,,,NOT SUITABLE,CONFIRMED,Milk,butter -> Milk; lactose -> Milk; milk -> Milk; milk powder -> Milk; whey -> Milk; whole milk -> Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Milk. Direct ingredient evidence: butter -> Milk; lactose -> Milk; milk -> Milk; milk powder -> Milk; whey -> Milk; whole milk -> Milk.
0000112407510,velouté de cresson.,Egg; Milk; Peanuts,milk,celery;egg;wheat_gluten,,NOT SUITABLE,CONFIRMED,Milk,creme -> Milk; lait -> Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile: Milk. Direct ingredient evidence: creme -> Milk; lait -> Milk.
000000000063,M&amp;M white,Egg; Milk; Peanuts,wheat_gluten,sesame,,SUITABLE,NO DETECTED USER ALLERGEN,,,"The model did not detect a confirmed, threshold, or precautionary allergen matching the current user allergy profile."
